"Date","Price","Open","High","Low","Vol.","Change %"
"23-08-2024","14,540.00","15,290.00","15,290.00","14,400.00","6.18K","-4.34%"
"22-08-2024","15,200.00","15,022.00","15,380.00","15,050.00","2.69K","0.21%"
"21-08-2024","15,168.00","16,030.00","16,030.00","15,126.00","7.67K","-3.55%"
"20-08-2024","15,726.00","15,800.00","15,800.00","15,690.00","0.88K","-0.24%"
"19-08-2024","15,764.00","15,620.00","15,848.00","15,620.00","0.55K","1.35%"
"16-08-2024","15,554.00","15,100.00","15,698.00","14,920.00","6.52K","2.26%"
"14-08-2024","15,210.00","15,522.00","15,602.00","15,134.00","4.85K","-1.81%"
"13-08-2024","15,490.00","15,550.00","15,708.00","15,450.00","2.63K","-0.65%"
"12-08-2024","15,592.00","15,620.00","15,800.00","15,136.00","3.93K","-1.10%"
"09-08-2024","15,766.00","15,900.00","15,948.00","15,710.00","2.48K","-0.63%"
"08-08-2024","15,866.00","15,794.00","16,080.00","15,780.00","3.87K","-0.06%"
"07-08-2024","15,876.00","15,874.00","15,990.00","15,770.00","2.82K","0.48%"
"06-08-2024","15,800.00","15,850.00","15,958.00","15,620.00","2.21K","-0.35%"
"05-08-2024","15,856.00","16,100.00","16,288.00","15,812.00","2.53K","-1.49%"
"02-08-2024","16,096.00","16,090.00","16,270.00","15,904.00","2.08K","0.60%"
"01-08-2024","16,000.00","15,832.00","16,074.00","15,782.00","1.65K","0.90%"
"31-07-2024","15,858.00","15,534.00","16,240.00","15,534.00","3.36K","2.11%"
"30-07-2024","15,530.00","15,562.00","15,788.00","14,970.00","2.41K","-0.40%"
"29-07-2024","15,592.00","15,848.00","15,848.00","15,560.00","1.24K","-0.81%"
"26-07-2024","15,720.00","15,742.00","15,894.00","15,640.00","1.42K","-0.18%"
"25-07-2024","15,748.00","15,888.00","15,976.00","15,702.00","1.11K","-1.56%"
"24-07-2024","15,998.00","16,000.00","16,160.00","15,844.00","1.49K","0.38%"
"23-07-2024","15,938.00","16,100.00","16,130.00","15,690.00","2.19K","-0.69%"
"22-07-2024","16,048.00","15,950.00","16,466.00","15,936.00","2.23K","1.08%"
"19-07-2024","15,876.00","16,080.00","16,080.00","15,800.00","1.67K","-2.11%"
"18-07-2024","16,218.00","15,800.00","16,530.00","15,790.00","4.88K","3.04%"
"16-07-2024","15,740.00","15,492.00","15,798.00","15,492.00","1.40K","1.61%"
"15-07-2024","15,490.00","15,988.00","16,188.00","15,050.00","3.95K","-2.74%"
"12-07-2024","15,926.00","16,070.00","16,070.00","15,770.00","1.79K","-1.15%"
"11-07-2024","16,112.00","15,510.00","16,198.00","15,510.00","4.42K","3.99%"
"10-07-2024","15,494.00","15,420.00","15,576.00","15,280.00","3.23K","0.28%"
"09-07-2024","15,450.00","15,260.00","15,564.00","15,100.00","2.85K","1.34%"
"08-07-2024","15,246.00","15,770.00","15,832.00","14,950.00","5.82K","-3.85%"
"05-07-2024","15,856.00","16,102.00","16,206.00","15,756.00","2.63K","-1.87%"
"04-07-2024","16,158.00","16,170.00","16,318.00","15,948.00","3.88K","-0.06%"
"03-07-2024","16,168.00","16,440.00","16,644.00","16,100.00","2.91K","-1.68%"
"02-07-2024","16,444.00","16,150.00","16,480.00","16,006.00","3.30K","1.90%"
"01-07-2024","16,138.00","16,900.00","16,900.00","15,930.00","6.75K","-4.64%"
"28-06-2024","16,924.00","17,390.00","17,452.00","16,850.00","3.03K","-2.79%"
"27-06-2024","17,410.00","17,462.00","17,776.00","17,242.00","4.22K","-0.58%"
"26-06-2024","17,512.00","17,400.00","17,590.00","17,270.00","2.53K","0.59%"
"25-06-2024","17,410.00","17,288.00","17,480.00","17,010.00","2.30K","1.03%"
"24-06-2024","17,232.00","17,052.00","17,400.00","16,802.00","2.79K","-0.82%"
"21-06-2024","17,374.00","18,150.00","18,150.00","17,106.00","5.49K","-2.94%"
"20-06-2024","17,900.00","17,900.00","17,900.00","17,900.00","0.01K","-1.85%"
"19-06-2024","18,238.00","18,238.00","18,238.00","18,238.00","","1.51%"
"18-06-2024","17,966.00","18,096.00","18,096.00","17,900.00","0.09K","3.10%"
"14-06-2024","17,426.00","17,608.00","17,608.00","17,326.00","0.06K","0.02%"
"13-06-2024","17,422.00","17,206.00","17,544.00","17,150.00","4.15K","0.81%"
"12-06-2024","17,282.00","17,276.00","17,580.00","17,052.00","4.59K","-0.17%"
"11-06-2024","17,312.00","17,192.00","17,816.00","17,050.00","2.24K","1.05%"
"10-06-2024","17,132.00","17,300.00","17,620.00","17,020.00","3.70K","-1.03%"
"07-06-2024","17,310.00","17,332.00","17,552.00","17,036.00","2.40K","-0.12%"
"06-06-2024","17,330.00","17,306.00","17,402.00","17,076.00","1.62K","0.50%"
"05-06-2024","17,244.00","16,750.00","17,800.00","16,368.00","5.08K","2.62%"
"04-06-2024","16,804.00","17,200.00","17,352.00","16,548.00","3.37K","-2.51%"
"03-06-2024","17,236.00","17,796.00","17,994.00","17,098.00","3.89K","-2.10%"
"31-05-2024","17,606.00","17,712.00","18,084.00","17,450.00","5.36K","-1.49%"
"30-05-2024","17,872.00","18,800.00","18,848.00","17,548.00","4.21K","-4.25%"
"29-05-2024","18,666.00","18,270.00","18,880.00","18,222.00","3.79K","0.10%"
"28-05-2024","18,648.00","19,752.00","19,888.00","18,648.00","7.22K","-6.00%"
"27-05-2024","19,838.00","20,214.00","20,430.00","19,708.00","5.88K","-0.67%"
"24-05-2024","19,972.00","19,278.00","20,172.00","19,200.00","4.81K","2.96%"
"23-05-2024","19,398.00","19,900.00","20,000.00","19,346.00","4.15K","-1.27%"
"22-05-2024","19,648.00","19,170.00","19,986.00","18,726.00","8.32K","3.67%"
"21-05-2024","18,952.00","18,040.00","18,952.00","18,040.00","6.46K","6.00%"
"17-05-2024","17,880.00","17,962.00","18,300.00","17,604.00","3.93K","-0.60%"
"16-05-2024","17,988.00","18,198.00","18,310.00","17,902.00","2.88K","-0.95%"
